[[0, 0], [0, 0, 0]]
[array([ 35., 145.]), [np.float64(53.273318790975), np.float64(11.175746069564495), 56]]
[array([ 36., 145.]), [np.float64(53.273318542804084), np.float64(11.175733174407789), 56]]
[array([ 37., 145.]), [np.float64(53.27331829461203), np.float64(11.17572027815365), 56]]
[array([ 37., 146.]), [np.float64(53.273310531947246), np.float64(11.175720884014888), 56]]
[array([ 36., 146.]), [np.float64(53.2733107804682), np.float64(11.175733780170782), 56]]
[array([ 35., 146.]), [np.float64(53.273311028968), np.float64(11.17574667522926), 56]]
[array([ 35., 145.]), [np.float64(53.273318790975), np.float64(11.175746069564495), 56]]
[[0, 0], [0, 0, 0]]
[array([ 36., 395.]), [np.float64(53.271380670189146), np.float64(11.175884403565524), 57]]
[array([ 37., 394.]), [np.float64(53.27138808098755), np.float64(11.175870927659725), 57]]
[array([ 38., 393.]), [np.float64(53.27139549249897), np.float64(11.17585745045737), 57]]
[array([ 41., 397.]), [np.float64(53.27136353463372), np.float64(11.175821243044155), 55]]
[array([ 42., 399.]), [np.float64(53.27134771901265), np.float64(11.175809575303079), 55]]
[array([ 45., 401.]), [np.float64(53.27133123767655), np.float64(11.17577214811918), 55]]
[array([ 46., 402.]), [np.float64(53.27132316194782), np.float64(11.17575987212382), 55]]
[array([ 47., 404.]), [np.float64(53.271307342146265), np.float64(11.175748200310586), 55]]
[array([ 47., 405.]), [np.float64(53.271299598756286), np.float64(11.175748805391768), 55]]
[array([ 46., 405.]), [np.float64(53.271299932498906), np.float64(11.175761687093646), 55]]
[array([ 45., 405.]), [np.float64(53.27130026621317), np.float64(11.175774567700469), 55]]
[array([ 44., 405.]), [np.float64(53.27130059989904), np.float64(11.175787447212366), 55]]
[array([ 43., 405.]), [np.float64(53.27130093355657), np.float64(11.175800325629485), 55]]
[array([ 42., 405.]), [np.float64(53.27130126718573), np.float64(11.17581320295196), 55]]
[array([ 41., 404.]), [np.float64(53.2713093422133), np.float64(11.17582547468671), 55]]
[array([ 39., 400.]), [np.float64(53.27134097263479), np.float64(11.175848806798335), 57]]
[array([ 37., 398.]), [np.float64(53.27135711755999), np.float64(11.175873344296415), 57]]
[array([ 36., 397.]), [np.float64(53.271365189129476), np.float64(11.175885611688079), 57]]
[array([ 36., 396.]), [np.float64(53.27137292961588), np.float64(11.175885007630193), 57]]
[array([ 36., 395.]), [np.float64(53.271380670189146), np.float64(11.175884403565524), 57]]
[[0, 0], [0, 0, 0]]
[array([ 38., 390.]), [np.float64(53.271418717223824), np.float64(11.175855637594562), 57]]
[array([ 39., 391.]), [np.float64(53.2714106466256), np.float64(11.175843367572737), 57]]
[array([ 38., 391.]), [np.float64(53.27141097556199), np.float64(11.17585624188895), 57]]
[array([ 38., 390.]), [np.float64(53.271418717223824), np.float64(11.175855637594562), 57]]
[[0, 0], [0, 0, 0]]
[array([ 51., 404.]), [np.float64(53.27130600820135), np.float64(11.175696662157407), 55]]
[array([ 53., 402.]), [np.float64(53.27132083202806), np.float64(11.175669675147018), 55]]
[array([ 54., 401.]), [np.float64(53.27132824501178), np.float64(11.175656179693213), 55]]
[array([ 55., 401.]), [np.float64(53.27132791235208), np.float64(11.175643288833234), 55]]
[array([ 56., 401.]), [np.float64(53.271327579664074), np.float64(11.175630396876874), 55]]
[array([ 56., 402.]), [np.float64(53.27131983306639), np.float64(11.175631002861381), 55]]
[array([ 56., 403.]), [np.float64(53.27131208655572), np.float64(11.175631608839081), 55]]
[array([ 55., 404.]), [np.float64(53.27130467380265), np.float64(11.175645106471848), 55]]
[array([ 54., 404.]), [np.float64(53.27130500744489), np.float64(11.175657997037387), 55]]
[array([ 53., 404.]), [np.float64(53.27130534105874), np.float64(11.175670886506733), 55]]
[array([ 52., 404.]), [np.float64(53.27130567464423), np.float64(11.175683774880026), 55]]
[array([ 51., 404.]), [np.float64(53.27130600820135), np.float64(11.175696662157407), 55]]
[[0, 0], [0, 0, 0]]
[array([ 58., 140.]), [np.float64(53.273351926897945), np.float64(11.17544616332025), 54]]
[array([ 59., 140.]), [np.float64(53.273351679888286), np.float64(11.175433242394261), 54]]
[array([ 60., 140.]), [np.float64(53.27335143285759), np.float64(11.175420320367538), 54]]
[array([ 59., 139.]), [np.float64(53.27335945032054), np.float64(11.175432634326933), 54]]
[array([ 58., 140.]), [np.float64(53.273351926897945), np.float64(11.17544616332025), 54]]
[[0, 0], [0, 0, 0]]
[array([ 59., 267.]), [np.float64(53.272365544978), np.float64(11.175510411385378), 55]]
[array([ 60., 266.]), [np.float64(53.27237301582049), np.float64(11.175496894569928), 55]]
[array([ 61., 266.]), [np.float64(53.27237272729578), np.float64(11.175483983854956), 55]]
[array([ 62., 267.]), [np.float64(53.27236467841782), np.float64(11.1754716795356), 55]]
[array([ 59., 269.]), [np.float64(53.27235002655439), np.float64(11.175511625763939), 55]]
[array([ 59., 268.]), [np.float64(53.27235778572258), np.float64(11.17551101857807), 55]]
[array([ 59., 267.]), [np.float64(53.272365544978), np.float64(11.175510411385378), 55]]
[[0, 0], [0, 0, 0]]
[array([ 61., 105.]), [np.float64(53.27362322603752), np.float64(11.175386103909378), 54]]
[array([ 62., 104.]), [np.float64(53.27363076498918), np.float64(11.175372567625592), 54]]
[array([ 63., 104.]), [np.float64(53.27363052976842), np.float64(11.175359638744224), 54]]
[array([ 64., 104.]), [np.float64(53.27363029452762), np.float64(11.175346708761033), 54]]
[array([ 65., 105.]), [np.float64(53.273622283794595), np.float64(11.175334386574727), 54]]
[array([ 65., 106.]), [np.float64(53.27361450840992), np.float64(11.175334995466724), 54]]
[array([ 65., 107.]), [np.float64(53.27360673311275), np.float64(11.175335604351869), 54]]
[array([ 64., 107.]), [np.float64(53.27360696936356), np.float64(11.175348535140898), 54]]
[array([ 63., 107.]), [np.float64(53.273607205594246), np.float64(11.175361464828011), 54]]
[array([ 62., 107.]), [np.float64(53.27360744180479), np.float64(11.175374393413342), 54]]
